trigger_id,slot,tick,leader_identity,leader_name,sv_continent,sv_country,n_senderror,n_unknownpending
20260610-164405#108952377862,425595226,6,9UM8wQ8F5oMiRcP5YdqD6Lr4krpBWCD8LtgQYoisJd9i,,Europe,United Kingdom,2,15
20260610-164405#108952378115,425595227,3,9UM8wQ8F5oMiRcP5YdqD6Lr4krpBWCD8LtgQYoisJd9i,,Europe,United Kingdom,0,17
20260610-164405#108952387104,425595262,32,7y5VhV4fkz6r4zUmH2UiwPjLwXzPL1PcV28or5NWkWRL,Haus – Best APY & No Fees,Europe,Germany,2,15
20260610-164405#108952391990,425595281,54,grptonHnt7YSmJokGK9TJJTBXDT8ca4LSWMHCCfzzPa,gripto,Europe,Germany,2,15
20260610-164405#108952392469,425595283,21,grptonHnt7YSmJokGK9TJJTBXDT8ca4LSWMHCCfzzPa,gripto,Europe,Germany,2,15
20260610-164405#108952392751,425595284,47,5Cchr1XGEg7dbBXByV5NY2ad8jfxAM7HA3x8D56rq9Ux,Upbit Staking,North America,United States,1,16
20260610-164405#108952396830,425595300,30,8uJiHDJ1b7UDQ4KFsQGJXK9nUCkokdKRJymg1Wy9nxvM,Alpha,Europe,Lithuania,3,14
20260610-164405#108952399363,425595310,3,JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT,Jupiter,Europe,Germany,3,14
20260610-164405#108952413451,425595365,11,5ZqveVffQPiUbkjBg4KD9kib1MKHLqiFno4ke9jSq9qk,,Europe,Germany,2,15
20260610-164405#108952417077,425595379,53,HpcB5Qg8Y9E73dUkot5e8HkgAJbExsYeUzniY4bCuKac,,Europe,Lithuania,2,15
20260610-164405#108952419379,425595388,51,2mMGsb5uy1Q4Dvezr8HK2E8SJoChcb2X7b61tJPaVHHd,Chainflow,Europe,Sweden,2,15
20260610-164405#108952420097,425595391,1,2mMGsb5uy1Q4Dvezr8HK2E8SJoChcb2X7b61tJPaVHHd,Chainflow,Europe,Sweden,3,14
20260610-164405#108952433467,425595443,59,5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm,Kiln1,Europe,Netherlands,0,17
20260610-164405#108952438075,425595461,59,scb1Z7du8NVSaHFXsafSjRdXr6xBjWR3iugikL739Y1,,Asia,Japan,2,15
20260610-164405#108952439595,425595467,43,7cVfgArCheMR6Cs4t6vz5rfnqd56vZq4ndaBrY5xkxXy,Blockdaemon 🧱👿 Validator,Europe,Netherlands,0,17
20260610-164405#108952439854,425595468,46,shftkxnsXmqAkmLgz9Mn7bNB5Fr6mKgFc58kFHfVikj,blueshift,Europe,Germany,3,14
20260610-164405#108952440578,425595471,2,shftkxnsXmqAkmLgz9Mn7bNB5Fr6mKgFc58kFHfVikj,blueshift,Europe,Germany,0,17
